uf;cargo;porcentagem_qtd_feminino;porcentagem_despesas_feminino;porcentagem_qtd_feminino_eleito;porcentagem_despesas_feminino_eleito
PB;PREFEITO;0.169014084507042;0.165972332751967;0.174887892376682;0.115491019587742
PB;TOTAL;0.317245978161207;0.178537172165641;0.146470366175915;0.123462650010775
PB;VEREADOR;0.331614329127912;0.19545745017638;0.138901497957331;0.135731541529497
PE;PREFEITO;0.168333333333333;0.136628796859545;0.141304347826087;0.133261486584199
PE;TOTAL;0.313404755683303;0.161440558902464;0.131515637530072;0.136992098154938
PE;VEREADOR;0.322152146006586;0.209144993078867;0.125117591721543;0.143552669481596
PI;PREFEITO;0.166371681415929;0.125870682177978;0.0945945945945946;0.0986673979790393
PI;TOTAL;0.318814989209339;0.182575342335303;0.164669501352918;0.128963621597612
PI;VEREADOR;0.334694778673143;0.22483452334068;0.168455436304246;0.15331692998454
PR;PREFEITO;0.0966010733452594;0.0836900396797191;0.0755667506297229;0.0729526824507726
PR;TOTAL;0.317177385925194;0.146144835386777;0.119406196213425;0.0974355269022745
PR;VEREADOR;0.331901882643947;0.219410800332223;0.123248572911261;0.13600223066483
RJ;PREFEITO;0.10738255033557;0.0478697995483691;0.0989010989010989;0.055437476311381
RJ;TOTAL;0.317217562900839;0.096989295664153;0.0913107511045655;0.0792663234660626
RJ;VEREADOR;0.32400093479785;0.141088310847749;0.0884353741496599;0.108745722834255
RN;PREFEITO;0.227373068432671;0.235637089420852;0.275449101796407;0.281533839662439
RN;TOTAL;0.324676747753671;0.243874888892897;0.223404255319149;0.267349242562101
RN;VEREADOR;0.334226226713747;0.252045411221596;0.21219512195122;0.25099912177161
RO;PREFEITO;0.125786163522013;0.0830873396269402;0.134615384615385;0.113857550619302
RO;TOTAL;0.318230391109211;0.14902691399293;0.113744075829384;0.120145678618808
RO;VEREADOR;0.329967875172097;0.222081976539458;0.10586011342155;0.129907492401251
RR;PREFEITO;0.215189873417722;0.423897052024327;0.266666666666667;0.696797959452908
RR;TOTAL;0.319731693683622;0.32145776466419;0.158469945355191;0.441560525181786
RR;VEREADOR;0.326568265682657;0.239445916192006;0.130718954248366;0.108327496463667
RS;PREFEITO;0.0897035881435257;0.132253946742823;0.063265306122449;0.0906634704716114
RS;TOTAL;0.319998615773264;0.191458199421561;0.149745331069609;0.119622591319254
RS;VEREADOR;0.339489985938509;0.246654485464141;0.164562118126273;0.148591443409926
SC;PREFEITO;0.0850785340314136;0.137607673245912;0.0819112627986348;0.0772508812809102
SC;TOTAL;0.315136757460785;0.190999425593942;0.125430539609644;0.102827731391246
SC;VEREADOR;0.335503875968992;0.243606451543679;0.134920634920635;0.133024346040282
SE;PREFEITO;0.152263374485597;0.0860229959012587;0.150684931506849;0.15297624981552
SE;TOTAL;0.320501950144141;0.126379634431649;0.168610816542948;0.145812077929183
SE;VEREADOR;0.332963374028857;0.210434583080416;0.161856963613551;0.133004244005673
SP;PREFEITO;0.114973262032086;0.0867566712271401;0.109034267912773;0.0392567686694535
SP;TOTAL;0.319974598776123;0.137916852785946;0.123728813559322;0.0808745834064878
SP;VEREADOR;0.329422228720423;0.194306846176862;0.122563073394495;0.129339639335623
TO;PREFEITO;0.174563591022444;0.161798958597943;0.172661870503597;0.0923926241658802
TO;TOTAL;0.325923942153187;0.204824530604268;0.160431198478123;0.111277512610723
TO;VEREADOR;0.342689882918043;0.25851388535651;0.156274056966898;0.150282824596082
