Emenda;Autor
EMC 840/2017 PL678716 => PL 6787/2016;Lelo Coimbra
EMC 841/2017 PL678716 => PL 6787/2016;Lelo Coimbra
EMC 842/2017 PL678716 => PL 6787/2016;Lelo Coimbra
EMC 843/2017 PL678716 => PL 6787/2016;Lelo Coimbra
EMC 844/2017 PL678716 => PL 6787/2016;Lelo Coimbra
EMC 845/2017 PL678716 => PL 6787/2016;Lelo Coimbra
EMC 846/2017 PL678716 => PL 6787/2016;Lelo Coimbra
EMC 847/2017 PL678716 => PL 6787/2016;Lelo Coimbra
EMC 848/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 849/2017 PL678716 => PL 6787/2016;Célio Silveira
EMC 850/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
ESB 1 PL678716 => SBT 1 PL678716 => PL 6787/2016;Paulo Pereira da Silva
ESB 2 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 3 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 4 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 5 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 6 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 7 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 8 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 9 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 10 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 11 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 12 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 13 PL678716 => SBT 1 PL678716 => PL 6787/2016;Benedita da Silva
ESB 14 PL678716 => SBT 1 PL678716 => PL 6787/2016;Benedita da Silva
ESB 15 PL678716 => SBT 1 PL678716 => PL 6787/2016;Benedita da Silva
ESB 16 PL678716 => SBT 1 PL678716 => PL 6787/2016;Benedita da Silva
ESB 17 PL678716 => SBT 1 PL678716 => PL 6787/2016;Benedita da Silva
ESB 18 PL678716 => SBT 1 PL678716 => PL 6787/2016;Benedita da Silva
ESB 19 PL678716 => SBT 1 PL678716 => PL 6787/2016;Benedita da Silva
ESB 20 PL678716 => SBT 1 PL678716 => PL 6787/2016;Benedita da Silva
ESB 21 PL678716 => SBT 1 PL678716 => PL 6787/2016;Jerônimo Goergen
ESB 22 PL678716 => SBT 1 PL678716 => PL 6787/2016;Jerônimo Goergen
ESB 23 PL678716 => SBT 1 PL678716 => PL 6787/2016;Jerônimo Goergen
ESB 24 PL678716 => SBT 1 PL678716 => PL 6787/2016;Jerônimo Goergen
ESB 25 PL678716 => SBT 1 PL678716 => PL 6787/2016;Jerônimo Goergen
ESB 26 PL678716 => SBT 1 PL678716 => PL 6787/2016;Jerônimo Goergen
ESB 27 PL678716 => SBT 1 PL678716 => PL 6787/2016;Jerônimo Goergen
ESB 28 PL678716 => SBT 1 PL678716 => PL 6787/2016;Jerônimo Goergen
ESB 29 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 30 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 31 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 32 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 33 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 34 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 35 PL678716 => SBT 1 PL678716 => PL 6787/2016;Paes Landim
ESB 36 PL678716 => SBT 1 PL678716 => PL 6787/2016;Paes Landim
ESB 37 PL678716 => SBT 1 PL678716 => PL 6787/2016;Paes Landim
ESB 38 PL678716 => SBT 1 PL678716 => PL 6787/2016;Paes Landim
ESB 39 PL678716 => SBT 1 PL678716 => PL 6787/2016;Orlando Silva
ESB 40 PL678716 => SBT 1 PL678716 => PL 6787/2016;Orlando Silva
ESB 41 PL678716 => SBT 1 PL678716 => PL 6787/2016;Orlando Silva
ESB 42 PL678716 => SBT 1 PL678716 => PL 6787/2016;Orlando Silva
ESB 43 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 44 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 45 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 46 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 47 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 48 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 49 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 50 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 51 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 52 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 53 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 54 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 55 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 56 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 57 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 58 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 59 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 60 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 61 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 62 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 63 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 64 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 65 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 66 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 67 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 68 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 69 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 70 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 71 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 72 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 73 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 74 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 75 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 76 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 77 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 78 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 79 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 80 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 81 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 82 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 83 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 84 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 85 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 86 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 87 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 88 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laura Carneiro
ESB 89 PL678716 => SBT 1 PL678716 => PL 6787/2016;Antonio Bulhões
ESB 90 PL678716 => SBT 1 PL678716 => PL 6787/2016;Antonio Bulhões
ESB 91 PL678716 => SBT 1 PL678716 => PL 6787/2016;Antonio Bulhões
ESB 92 PL678716 => SBT 1 PL678716 => PL 6787/2016;Antonio Bulhões
ESB 93 PL678716 => SBT 1 PL678716 => PL 6787/2016;Antonio Bulhões
ESB 94 PL678716 => SBT 1 PL678716 => PL 6787/2016;Antonio Bulhões
ESB 95 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 96 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 97 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 98 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 99 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 100 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 101 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 102 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 103 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 104 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 105 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 106 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 107 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 108 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 109 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 110 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 111 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 112 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 113 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 114 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 115 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 116 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 117 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 118 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 119 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 120 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 121 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 122 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 123 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 124 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 125 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 126 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 127 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 128 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 129 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 130 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 131 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 132 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 133 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 134 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 135 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 136 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 137 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 138 PL678716 => SBT 1 PL678716 => PL 6787/2016;Arnaldo Jordy
ESB 139 PL678716 => SBT 1 PL678716 => PL 6787/2016;Roberto Sales
ESB 140 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 141 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 142 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 143 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 144 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 145 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 146 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 147 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 148 PL678716 => SBT 1 PL678716 => PL 6787/2016;Celso Maldaner
ESB 149 PL678716 => SBT 1 PL678716 => PL 6787/2016;Nelson Marquezelli
ESB 150 PL678716 => SBT 1 PL678716 => PL 6787/2016;Nelson Marquezelli
ESB 151 PL678716 => SBT 1 PL678716 => PL 6787/2016;Nelson Marquezelli
ESB 152 PL678716 => SBT 1 PL678716 => PL 6787/2016;Nelson Marquezelli
ESB 153 PL678716 => SBT 1 PL678716 => PL 6787/2016;Goulart
ESB 154 PL678716 => SBT 1 PL678716 => PL 6787/2016;Goulart
ESB 155 PL678716 => SBT 1 PL678716 => PL 6787/2016;Goulart
ESB 156 PL678716 => SBT 1 PL678716 => PL 6787/2016;Covatti Filho
ESB 157 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 158 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 159 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 160 PL678716 => SBT 1 PL678716 => PL 6787/2016;Valdir Colatto
ESB 161 PL678716 => SBT 1 PL678716 => PL 6787/2016;Valdir Colatto
ESB 162 PL678716 => SBT 1 PL678716 => PL 6787/2016;Valdir Colatto
ESB 163 PL678716 => SBT 1 PL678716 => PL 6787/2016;Valdir Colatto
ESB 164 PL678716 => SBT 1 PL678716 => PL 6787/2016;Valdir Colatto
ESB 165 PL678716 => SBT 1 PL678716 => PL 6787/2016;Valdir Colatto
ESB 166 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 167 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 168 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 169 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 170 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 171 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 172 PL678716 => SBT 1 PL678716 => PL 6787/2016;Valdir Colatto
ESB 173 PL678716 => SBT 1 PL678716 => PL 6787/2016;Valdir Colatto
ESB 174 PL678716 => SBT 1 PL678716 => PL 6787/2016;Valdir Colatto
ESB 175 PL678716 => SBT 1 PL678716 => PL 6787/2016;Renata Abreu
ESB 176 PL678716 => SBT 1 PL678716 => PL 6787/2016;Paulo Pereira da Silva
ESB 177 PL678716 => SBT 1 PL678716 => PL 6787/2016;Paulo Pereira da Silva
ESB 178 PL678716 => SBT 1 PL678716 => PL 6787/2016;Paulo Pereira da Silva
ESB 179 PL678716 => SBT 1 PL678716 => PL 6787/2016;Paulo Pereira da Silva
ESB 180 PL678716 => SBT 1 PL678716 => PL 6787/2016;Patrus Ananias
ESB 181 PL678716 => SBT 1 PL678716 => PL 6787/2016;Patrus Ananias
ESB 182 PL678716 => SBT 1 PL678716 => PL 6787/2016;Patrus Ananias
ESB 183 PL678716 => SBT 1 PL678716 => PL 6787/2016;Hissa Abrahão
ESB 184 PL678716 => SBT 1 PL678716 => PL 6787/2016;Hissa Abrahão
ESB 185 PL678716 => SBT 1 PL678716 => PL 6787/2016;Hissa Abrahão
ESB 186 PL678716 => SBT 1 PL678716 => PL 6787/2016;Hissa Abrahão
ESB 187 PL678716 => SBT 1 PL678716 => PL 6787/2016;Hissa Abrahão
ESB 188 PL678716 => SBT 1 PL678716 => PL 6787/2016;Hissa Abrahão
ESB 189 PL678716 => SBT 1 PL678716 => PL 6787/2016;Hissa Abrahão
ESB 190 PL678716 => SBT 1 PL678716 => PL 6787/2016;Hissa Abrahão
ESB 191 PL678716 => SBT 1 PL678716 => PL 6787/2016;Hissa Abrahão
ESB 192 PL678716 => SBT 1 PL678716 => PL 6787/2016;Eli Corrêa Filho
ESB 193 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 194 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 195 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 196 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 197 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 198 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 199 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 200 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 201 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 202 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 203 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 204 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 205 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 206 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 207 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 208 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 209 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 210 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 211 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 212 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 213 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 214 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 215 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 216 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 217 PL678716 => SBT 1 PL678716 => PL 6787/2016;Assis Melo
ESB 218 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 219 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 220 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 221 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 222 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 223 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 224 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 225 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 226 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 227 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 228 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 229 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 230 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 231 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 232 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 233 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 234 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 235 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 236 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 237 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 238 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 239 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 240 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 241 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 242 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 243 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 244 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 245 PL678716 => SBT 1 PL678716 => PL 6787/2016;Luiza Erundina
ESB 246 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 247 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 248 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 249 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 250 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 251 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 252 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 253 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 254 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 255 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 256 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 257 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 258 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 259 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 260 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 261 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 262 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 263 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 264 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 265 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 266 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 267 PL678716 => SBT 1 PL678716 => PL 6787/2016;Chico Alencar
ESB 268 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wadih Damous
ESB 269 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 270 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 271 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 272 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 273 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 274 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 275 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 276 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 277 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 278 PL678716 => SBT 1 PL678716 => PL 6787/2016;Sergio Vidigal
ESB 279 PL678716 => SBT 1 PL678716 => PL 6787/2016;Goulart
ESB 280 PL678716 => SBT 1 PL678716 => PL 6787/2016;Orlando Silva
ESB 281 PL678716 => SBT 1 PL678716 => PL 6787/2016;Orlando Silva
ESB 282 PL678716 => SBT 1 PL678716 => PL 6787/2016;Orlando Silva
ESB 283 PL678716 => SBT 1 PL678716 => PL 6787/2016;Orlando Silva
ESB 284 PL678716 => SBT 1 PL678716 => PL 6787/2016;Orlando Silva
ESB 285 PL678716 => SBT 1 PL678716 => PL 6787/2016;Orlando Silva
ESB 286 PL678716 => SBT 1 PL678716 => PL 6787/2016;Orlando Silva
ESB 287 PL678716 => SBT 1 PL678716 => PL 6787/2016;Orlando Silva
ESB 288 PL678716 => SBT 1 PL678716 => PL 6787/2016;Professora Dorinha Seabra Rezende
ESB 289 PL678716 => SBT 1 PL678716 => PL 6787/2016;Professora Dorinha Seabra Rezende
ESB 290 PL678716 => SBT 1 PL678716 => PL 6787/2016;Professora Dorinha Seabra Rezende
ESB 291 PL678716 => SBT 1 PL678716 => PL 6787/2016;Professora Dorinha Seabra Rezende
ESB 292 PL678716 => SBT 1 PL678716 => PL 6787/2016;Jerônimo Goergen
ESB 293 PL678716 => SBT 1 PL678716 => PL 6787/2016;Jerônimo Goergen
ESB 294 PL678716 => SBT 1 PL678716 => PL 6787/2016;Jerônimo Goergen
ESB 295 PL678716 => SBT 1 PL678716 => PL 6787/2016;Jerônimo Goergen
ESB 296 PL678716 => SBT 1 PL678716 => PL 6787/2016;Jerônimo Goergen
ESB 297 PL678716 => SBT 1 PL678716 => PL 6787/2016;Wellington Roberto
ESB 298 PL678716 => SBT 1 PL678716 => PL 6787/2016;Benedita da Silva
ESB 299 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 300 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 301 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 302 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 303 PL678716 => SBT 1 PL678716 => PL 6787/2016;Laercio Oliveira
ESB 304 PL678716 => SBT 1 PL678716 => PL 6787/2016;Benedita da Silva
ESB 305 PL678716 => SBT 1 PL678716 => PL 6787/2016;Goulart
ESB 306 PL678716 => SBT 1 PL678716 => PL 6787/2016;Goulart
ESB 307 PL678716 => SBT 1 PL678716 => PL 6787/2016;Goulart
ESB 308 PL678716 => SBT 1 PL678716 => PL 6787/2016;Goulart
ESB 309 PL678716 => SBT 1 PL678716 => PL 6787/2016;Toninho Wandscheer
ESB 310 PL678716 => SBT 1 PL678716 => PL 6787/2016;Toninho Wandscheer
ESB 311 PL678716 => SBT 1 PL678716 => PL 6787/2016;Toninho Wandscheer
ESB 312 PL678716 => SBT 1 PL678716 => PL 6787/2016;Toninho Wandscheer
ESB 313 PL678716 => SBT 1 PL678716 => PL 6787/2016;Toninho Wandscheer
ESB 314 PL678716 => SBT 1 PL678716 => PL 6787/2016;Toninho Wandscheer
ESB 315 PL678716 => SBT 1 PL678716 => PL 6787/2016;Marinaldo Rosendo
ESB 316 PL678716 => SBT 1 PL678716 => PL 6787/2016;Marinaldo Rosendo
ESB 317 PL678716 => SBT 1 PL678716 => PL 6787/2016;Vitor Lippi
ESB 318 PL678716 => SBT 1 PL678716 => PL 6787/2016;Vitor Lippi
ESB 319 PL678716 => SBT 1 PL678716 => PL 6787/2016;Vitor Lippi
ESB 320 PL678716 => SBT 1 PL678716 => PL 6787/2016;Renata Abreu
ESB 321 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
ESB 322 PL678716 => SBT 1 PL678716 => PL 6787/2016;Gorete Pereira
