uf;municipio;taxa;homicidios;população
SP;Tatuí;15.5;10;118.939
AM;Parintins;15.4;17;113.832
SP;Votorantim;15.4;15;119.898
PR;Cambé;15.2;15;105.347
SP;Carapicuíba;15;44;396.587
SP;Ferraz de Vasconcelos;14.8;23;188.868
SP;Várzea Paulista;14.4;15;118.917
SC;Blumenau;14.1;48;348.513
MG;Ipatinga;14;28;261.203
SC;Balneário Camboriú;14;17;135.268
SP;Franco da Rocha;14;14;149.502
SP;Sorocaba;14;75;659.871
RJ;Petrópolis;13.9;29;298.235
SP;Leme;13.9;12;101.184
MG;Ituiutaba;13.6;13;104.526
PR;Toledo;13.3;18;135.538
SP;Salto;13.3;12;116.191
SP;São Paulo;13.2;1.011;12.106.920
SP;Rio Claro;13.2;26;202.952
MG;Poços de Caldas;13;10;166.085
SP;São José dos Campos;13;67;703.219
SP;São Bernardo do Campo;12.8;55;827.437
SP;Santana de Parnaíba;12.8;12;131.887
PR;Maringá;12.7;49;406.693
SP;Paulínia;12.5;10;102.499
MG;Conselheiro Lafaiete;12.4;14;127.369
MG;Pouso Alegre;12.3;9;147.137
RS;Uruguaiana;12.3;16;129.784
MG;Lavras;12;11;102.124
SP;Bauru;11.7;42;371.690
MG;Patos de Minas;11.4;16;150.893
SC;Criciúma;11.3;22;211.369
SP;Ribeirão Preto;11.3;62;682.302
SP;Itu;11.3;13;170.157
SP;Piracicaba;11.3;31;397.322
SP;Botucatu;11.2;9;142.546
SP;Mogi Guaçu;11.2;16;149.396
CE;Itapipoca;11.1;10;127.465
SP;Marília;11;21;235.234
PR;Apucarana;10.9;14;132.691
SP;Ribeirão Pires;10.8;4;121.848
SP;Araras;10.2;12;131.282
SP;Atibaia;10;14;139.683
MG;Barbacena;9.9;5;136.689
SP;Franca;9.1;26;347.237
SP;Birigui;8.9;10;120.692
SC;Lages;8.8;13;158.508
SP;Santa Bárbara d’Oeste;8.5;15;191.889
SP;Sertãozinho;8.5;9;122.643
SP;Catanduva;8.4;8;120.691
MG;Varginha;8.3;10;134.364
SP;Itatiba;8.3;9;116.503
SP;Mogi das Cruzes;8.3;26;433.901
SC;Tubarão;8.1;8;104.457
MG;Araxá;7.9;7;104.283
SP;São Caetano do Sul;7.9;7;159.608
SP;Araraquara;7.9;14;230.770
SP;Santos;7.8;19;434.742
SP;Bragança Paulista;7.7;12;164.163
SP;Americana;7.7;18;233.868
SP;Limeira;7.7;21;300.911
MG;Passos;7.2;7;114.458
SP;Jundiaí;6.1;25;409.497
SC;Brusque;5.8;7;128.818
SC;Jaraguá do Sul;5.5;7;170.835
SP;Valinhos;4.7;3;124.024
SP;Indaiatuba;3.5;5;239.602
SP;Jaú;2.7;4;146.338
