ADLM Serviços Médicos S/C Ltda;2011-01-28;1;600;600; 133200; 9.25; 9.25;8870;9091;9538
Daviso Indústria e Comércio de Produtos Higiênicos SA;2011-02-02;1;500;500; 111000; 9.25; 9.25;;;
Bergamais Supermercados Ltda;2011-01-03;1;2000;2000; 464069; 8.71; 8.71;23214;24160;23827
Orion Participações e Administração Ltda;2011-02-11;1;1432;1432; 299345; 8.71; 8.71;21372;20260;19968
Clinefran - Clínica de Nefrologia Franco da Rocha Ltda;2011-01-14;1;500;500; 111000; 9.25; 9.25;;;
Condomínio Edifício Pedra Grande;2011-02-21;1;544;844; 187368; 9.25; 9.25;6528;6528;5745
Condomínio Millenium Business Center;2011-02-21;1;1010;1010; 211130; 8.71; 8.71;18755;19905;22690
Condomínio Edificio Memorial Office Building;2011-02-09;1;1400;2200; 459880; 8.71; 8.71;8607;19102;19720
Amico Saúde Ltda;2011-01-21;1;1023;1780; 372091; 8.71; 8.71;13557;15016;14481
Clínica Nefrológica do Itaim Paulista Ltda;2011-02-28;1;500;500; 111000; 9.25; 9.25;7078;7638;7103
Clínica Nefrológica São Miguel Ltda;2011-02-28;1;521;521; 115662; 9.25; 9.25;7028;6578;5826
Clínica e Nefrologia Leste Ltda;2011-02-28;1;722;1001; 209249; 8.71; 8.71;786;11046;13107
Grupo Fartura de Hortifrut Ltda;2011-03-20;1;530;530; 117660; 9.25; 9.25;;;
Cetene - Centro de Terapia Nefrológica Ltda;2011-03-21;1;650;650; 144300; 9.25; 9.25;;;
HSBC Bank Brasil SA;2011-03-21;1;1100;1100;22994400; 8.71; 8.71;;;
Liga das Senhoras Católicas - Lar Santana;2011-03-29;1;1230;1230; 257119; 8.71; 8.71;18539;18583;15763
Alstom Brasil Energia e Transporte LTDA;2011-03-30;1;1200;1087; 227226; 8.71; 8.71;14400;14661;18643
Condomínio Edifício Sol Alphaville;2011-03-22;1;1001;1001; 22002; 8.71; 8.71;24881;30583;25135
Styron do Brasil Comércio de Produtos Químicos LTDA;2011-04-01;1;1001;1001; 209249; 8.71; 8.71;14442;13773;9995
P2 Administração em Comércios Imobiliários SA;2011-04-01;1;4500;4500; 881280; 8.16; 8.16;67559;66488;60485
Condomínio Conjunto Zarvos;2011-04-25;1;563;563; 124986; 9.25; 9.25;9630;9659;9012
Condomínio Edifício Burity;2011-05-04;1;510;510; 113220; 9.25; 9.25;7673;8076;7774
Condomínio Edifício Santa Catarina;2011-05-10;1;1217;1217; 254402; 8.71; 8.71;14739;17177;17328
