Açucena|MG|10093|2|19.8|1173
Babaçulândia|TO|10439|2|19.2|1224
Bacabal|MA|101195|26|25.7|891
Bacabeira|MA|15591|3|19.2|1213
Bacuri|MA|17437|1|5.7|2422
Bacurituba|MA|5387|0||
Bady Bassitt|SP|15065|1|6.6|2329
Baependi|MG|18426|0|0.0|2620
Bagre|PA|25398|0|0.0|2620
Bagé|RS|117090|5|4.3|2536
Baianópolis|BA|13420|0|0.0|2620
Baixa Grande|BA|20031|2|10.0|1929
Baixa Grande do Ribeiro|PI|10930|1|9.1|2050
Baixio|CE|6072|0||
Baixo Guandu|ES|29272|18|61.5|142
Baião|PA|39263|4|10.2|1915
Balbinos|SP|4063|0||
Baldim|MG|7877|1||
Baliza|GO|3933|0||
Balneário Arroio do Silva|SC|10121|2|19.8|1177
Balneário Barra do Sul|SC|8791|0||
Balneário Camboriú|SC|113319|18|15.9|1512
Balneário Gaivota|SC|8655|0||
Balneário Pinhal|RS|11371|5|44.0|377
Balneário Piçarras|SC|18010|6|33.3|619
Balsa Nova|PR|11539|2|17.3|1390
Balsas|MA|87057|23|26.4|860
Bambuí|MG|22891|2|8.7|2105
Banabuiú|CE|17488|9|51.5|258
Bananal|SP|10301|0|0.0|2620
Bananeiras|PB|21753|6|27.6|806
Bandeira|MG|4938|0||
Bandeira do Sul|MG|5405|0||
Bandeirante|SC|2866|0||
Bandeirantes|MS|6637|0||
Bandeirantes|PR|31951|2|6.3|2376
Bandeirantes do Tocantins|TO|3200|1||
Bannach|PA|3379|0||
Banzaê|BA|11840|2|16.9|1416
Baraúna|PB|4379|1||
Baraúna|RN|24977|11|44.0|373
Barbacena|MG|128120|15|11.7|1811
Barbalha|CE|56576|44|77.8|56
Barbosa|SP|6708|1||
Barbosa Ferraz|PR|12437|1|8.0|2181
Barcarena|PA|105385|52|49.3|281
Barcelona|RN|3944|0||
Barcelos|AM|25948|12|46.2|333
Bariri|SP|32102|0|0.0|2620
Barra|BA|50134|5|10.0|1930
Barra Bonita|SC|1853|0||
Barra Bonita|SP|35210|2|5.7|2431
Barra D'Alcântara|PI|3858|0||
Barra Funda|RS|2388|1||
Barra Longa|MG|5930|1||
Barra Mansa|RJ|178880|31|17.3|1391
Barra Velha|SC|23422|6|25.6|896
Barra da Estiva|BA|20767|8|38.5|483
Barra de Guabiraba|PE|13054|5|38.3|491
Barra de Santa Rosa|PB|14413|1|6.9|2300
Barra de Santana|PB|8191|0||
Barra de Santo Antônio|AL|14665|7|47.7|304
Barra de São Francisco|ES|41110|34|82.7|48
Barra de São Miguel|AL|7755|5||
Barra de São Miguel|PB|5679|1||
Barra do Bugres|MT|32464|5|15.4|1553
Barra do Chapéu|SP|5305|0||
Barra do Choça|BA|35501|8|22.5|1045
Barra do Corda|MA|84180|29|34.4|586
Barra do Garças|MT|57235|14|24.5|949
Barra do Guarita|RS|3105|1||
Barra do Jacaré|PR|2728|0||
Barra do Mendes|BA|13914|0|0.0|2620
Barra do Ouro|TO|4206|0||
Barra do Piraí|RJ|95726|14|14.6|1614
Barra do Quaraí|RS|4032|0||
Barra do Ribeiro|RS|12682|1|7.9|2201
Barra do Rio Azul|RS|1941|0||
Barra do Rocha|BA|6038|0||
Barra do Turvo|SP|7672|4||
Barra dos Coqueiros|SE|26059|9|34.5|585
Barracão|PR|9796|2||
Barracão|RS|5322|0||
Barras|PI|45448|2|4.4|2526
Barreira|CE|19958|1|5.0|2493
Barreiras|BA|141081|0|0.0|2620
Barreiras do Piauí|PI|3255|0||
Barreirinha|AM|28077|2|7.1|2279
Barreirinhas|MA|58083|5|8.6|2121
Barreiros|PE|40973|15|36.6|526
Barretos|SP|113338|5|4.4|2525
Barrinha|SP|29144|4|13.7|1673
Barro|CE|21742|1|4.6|2518
Barro Alto|BA|13914|1|7.2|2271
Barro Alto|GO|9089|2||
Barro Duro|PI|6580|2||
Barro Preto|BA|6122|7||
Barrocas|BA|14495|0|0.0|2620
Barrolândia|TO|5390|0||
Barroquinha|CE|14560|1|6.9|2309
Barros Cassal|RS|11101|3|27.0|832
Barroso|MG|19787|2|10.1|1918
Barueri|SP|245652|46|18.7|1266
Barão|RS|5793|0||
Barão de Antonina|SP|3165|0||
Barão de Cocais|MG|29205|2|6.8|2314
Barão de Cotegipe|RS|6521|0||
Barão de Grajaú|MA|17862|2|11.2|1849
Barão de Melgaço|MT|7578|0||
Barão de Monte Alto|MG|5643|0||
Barão do Triunfo|RS|7072|1||
Bastos|SP|20424|1|4.9|2500
Bataguassu|MS|20389|6|29.4|719
Batalha|AL|17420|3|17.2|1397
Batalha|PI|26023|0|0.0|2620
Batatais|SP|57286|1|1.7|2618
Batayporã|MS|10983|0|0.0|2620
Baturité|CE|33863|18|53.2|230
Bauru|SP|348146|50|14.4|1634
Bayeux|PB|100543|44|43.8|381
Baía Formosa|RN|8687|1||
Baía da Traição|PB|8243|1||
Bebedouro|SP|75069|6|8.0|2185
Beberibe|CE|50364|8|15.9|1511
Bela Cruz|CE|31259|2|6.4|2354
Bela Vista|MS|23395|6|25.6|893
Bela Vista da Caroba|PR|3861|0||
Bela Vista de Goiás|GO|25361|2|7.9|2199
Bela Vista de Minas|MG|10028|0|0.0|2620
Bela Vista do Maranhão|MA|12335|2|16.2|1482
Bela Vista do Paraíso|PR|15087|1|6.6|2332
Bela Vista do Piauí|PI|3854|0||
