Anagé|BA|19889|5028|1|**|**
Anahy|PR|2854|639|0|**|**
Anajatuba|MA|25955|7508|0|**|**
Anajás|PA|25731|7430|0|**|**
Analândia|SP|4401|1125|0|**|**
Anamã|AM|10766|3138|0|**|**
Ananindeua|PA|483821|143883|396|275.2|3
Ananás|TO|9768|2729|2|**|**
Anapu|PA|22225|6587|3|**|**
Anapurus|MA|14492|4276|1|**|**
Anastácio|MS|24041|6131|3|**|**
Anaurilândia|MS|8575|2152|1|**|**
Anchieta|ES|24616|6636|3|**|**
Anchieta|SC|6172|1443|0|**|**
Andaraí|BA|13942|3979|0|**|**
Andirá|PR|20451|4834|6|**|**
Andorinha|BA|14209|3927|1|**|**
Andradas|MG|37920|9419|1|**|**
Andradina|SP|55361|13112|1|7.6|777
Andrelândia|MG|12153|2662|1|**|**
André da Rocha|RS|1232|251|0|**|**
Angatuba|SP|22650|5682|1|**|**
Angelim|PE|10372|2653|1|**|**
Angelina|SC|5171|1216|0|**|**
Angelândia|MG|8084|2253|1|**|**
Angical|BA|13992|3958|0|**|**
Angical do Piauí|PI|6655|1577|0|**|**
Angico|TO|3219|841|1|**|**
Angicos|RN|11538|3276|0|**|**
Angra dos Reis|RJ|177101|47044|25|53.1|322
Anguera|BA|10427|2972|0|**|**
Angélica|MS|9462|2500|1|**|**
Anhanguera|GO|1039|234|0|**|**
Anhembi|SP|5822|1379|0|**|**
Anhumas|SP|3788|932|0|**|**
Anicuns|GO|20464|5364|0|**|**
Anita Garibaldi|SC|8374|1975|0|**|**
Anitápolis|SC|3211|687|0|**|**
Anori|AM|17072|4973|0|**|**
Anta Gorda|RS|6035|1274|0|**|**
Antas|BA|17526|4873|0|**|**
Antonina|PR|18849|4303|1|**|**
Antonina do Norte|CE|7056|1733|1|**|**
Antônio Almeida|PI|3068|839|0|**|**
Antônio Cardoso|BA|11545|3514|0|**|**
Antônio Carlos|MG|11151|2736|0|**|**
Antônio Carlos|SC|7613|1918|1|**|**
Antônio Dias|MG|9493|2403|2|**|**
Antônio Gonçalves|BA|11229|2975|1|**|**
Antônio João|MS|8329|2186|4|**|**
Antônio Martins|RN|6930|1720|0|**|**
Antônio Olinto|PR|7343|1638|0|**|**
Antônio Prado|RS|12821|2926|0|**|**
Antônio Prado de Minas|MG|1653|355|0|**|**
Anápolis|GO|342347|91625|84|91.7|162
Anísio de Abreu|PI|9385|2655|0|**|**
Aparecida|PB|7832|1968|0|**|**
Aparecida|SP|35023|9244|7|**|**
Aparecida d'Oeste|SP|4377|882|0|**|**
Aparecida de Goiânia|GO|474219|141198|179|126.8|69
Aparecida do Rio Doce|GO|2431|640|0|**|**
Aparecida do Rio Negro|TO|4319|1076|0|**|**
Aparecida do Taboado|MS|22912|5936|1|**|**
Aperibé|RJ|10545|2555|0|**|**
Apiacá|ES|7497|1842|0|**|**
Apiacás|MT|8855|2356|2|**|**
Apiaí|SP|24894|6267|0|**|**
Apicum-Açu|MA|15542|4924|1|**|**
Apiúna|SC|9764|2583|0|**|**
Apodi|RN|34852|9834|0|**|**
Aporá|BA|17877|4582|0|**|**
Aporé|GO|3860|1014|0|**|**
Apuarema|BA|7397|2123|1|**|**
Apucarana|PR|122896|31628|7|22.1|594
Apuiarés|CE|14135|3813|1|**|**
Apuí|AM|18633|5568|1|**|**
Aquidabã|SE|20315|5445|0|**|**
Aquidauana|MS|45943|11667|6|51.4|342
Aquiraz|CE|74465|22090|31|140.3|46
Arabutã|SC|4198|914|0|**|**
Aracaju|SE|587701|171077|202|118.1|87
Aracati|CE|70363|20167|16|79.3|202
Aracatu|BA|13542|3744|0|**|**
Araci|BA|52325|14440|2|13.9|701
Aracitaba|MG|2054|443|0|**|**
Aracoiaba|CE|25592|7145|4|**|**
Aracruz|ES|84429|24002|23|95.8|153
Aragarças|GO|18564|5039|2|**|**
Aragoiânia|GO|8659|2145|1|**|**
Aragominas|TO|5838|1394|0|**|**
Araguacema|TO|6454|1638|1|**|**
Araguaiana|MT|3163|779|0|**|**
Araguainha|MT|1058|226|0|**|**
Araguanã|MA|14407|4088|0|**|**
Araguanã|TO|5157|1401|0|**|**
Araguapaz|GO|7541|1830|0|**|**
Araguari|MG|110983|27589|12|43.5|401
Araguatins|TO|32133|8762|0|**|**
Araguaçu|TO|8702|2002|1|**|**
Araguaína|TO|156123|49507|43|86.9|172
Araioses|MA|43653|12391|0|0.0|817
Aral Moreira|MS|10583|2857|0|**|**
Aramari|BA|10483|3035|0|**|**
Arambaré|RS|3660|712|0|**|**
Arame|MA|31729|9363|0|**|**
Aramina|SP|5211|1333|0|**|**
Arandu|SP|6132|1568|0|**|**
Arantina|MG|2811|560|0|**|**
Arapeí|SP|2475|587|0|**|**
Arapiraca|AL|218140|62251|112|179.9|21
Arapoema|TO|6700|1778|0|**|**
Araponga|MG|8188|2273|0|**|**
Arapongas|PR|106978|27658|11|39.8|428
Araporã|MG|6271|1740|0|**|**
Arapoti|PR|26153|6866|1|**|**
Araputanga|MT|15594|4380|0|**|**
Arapuá|MG|2780|565|0|**|**
Arapuã|PR|3469|786|0|**|**
Araquari|SC|26875|7424|7|**|**
Arara|PB|12820|3183|2|**|**
Araranguá|SC|62308|16642|1|6.0|797
Araraquara|SP|212617|54236|16|29.5|511
Araras|SP|121055|31836|4|12.6|709
Ararendá|CE|10564|2617|1|**|**
Arari|MA|28809|8586|0|**|**
Araricá|RS|4990|1226|1|**|**
Araripe|CE|20848|5768|2|**|**
