Uruçuca;BA;19.642;11;56,0;202
Irecê;BA;67.527;37;54,8;212
Vera Cruz;BA;38.748;21;54,2;216
Nova Viçosa;BA;39.535;21;53,1;233
Una;BA;22.992;12;52,2;248
Alcobaça;BA;21.328;11;51,6;256
Ponto Novo;BA;15.524;8;51,5;257
Itororó;BA;19.942;10;50,1;273
Conde;BA;24.103;12;49,8;278
Santa Cruz Cabrália;BA;26.623;13;48,8;290
Pau Brasil;BA;10.479;5;47,7;305
Jaguaripe;BA;16.927;8;47,3;314
São Sebastião do Passé;BA;42.485;20;47,1;315
Canavieiras;BA;31.902;15;47,0;316
Taperoá;BA;19.174;9;46,9;319
Ibicaraí;BA;23.560;11;46,7;328
Itabela;BA;28.790;13;45,2;350
Ipiaú;BA;44.538;20;44,9;355
Ibirataia;BA;17.959;8;44,5;361
Ubaitaba;BA;20.214;9;44,5;362
Paulo Afonso;BA;110.193;49;44,5;363
Itambé;BA;22.650;10;44,2;368
Santo Antônio de Jesus;BA;93.077;41;44,0;371
Cairu;BA;15.973;7;43,8;380
Entre Rios;BA;40.180;17;42,3;404
Mutuípe;BA;21.608;9;41,7;419
Poções;BA;45.903;19;41,4;424
São Francisco do Conde;BA;34.226;14;40,9;439
Cachoeira;BA;32.270;13;40,3;448
Camamu;BA;35.366;14;39,6;459
Santa Inês;BA;10.312;4;38,8;479
Barra da Estiva;BA;20.767;8;38,5;483
Itapebi;BA;10.398;4;38,5;485
Ribeirão do Largo;BA;10.432;4;38,3;490
Muritiba;BA;28.944;11;38,0;496
São Félix do Coribe;BA;13.243;5;37,8;501
Catu;BA;51.734;19;36,7;522
Maraú;BA;19.212;7;36,4;528
Prado;BA;27.693;10;36,1;537
Coribe;BA;14.210;5;35,2;566
Lapão;BA;25.785;9;34,9;577
Maragogipe;BA;43.114;15;34,8;580
Ubaíra;BA;20.714;7;33,8;607
Ibititá;BA;17.763;6;33,8;609
Saúde;BA;11.921;4;33,6;617
Inhambupe;BA;37.321;12;32,2;650
Wenceslau Guimarães;BA;21.910;7;31,9;655
Sobradinho;BA;22.109;7;31,7;664
Igrapiúna;BA;13.028;4;30,7;685
Piritiba;BA;22.907;7;30,6;693
Mucuri;BA;37.229;11;29,5;717
São Gonçalo dos Campos;BA;34.232;10;29,2;726
Gandu;BA;30.816;9;29,2;727
Pé de Serra;BA;13.707;4;29,2;731
Jacobina;BA;79.580;23;28,9;744
Itatim;BA;13.841;4;28,9;745
Sebastião Laranjeiras;BA;10.563;3;28,4;775
Teolândia;BA;14.113;4;28,3;779
São Félix;BA;14.159;4;28,3;784
Mascote;BA;14.257;4;28,1;791
Santa Brígida;BA;14.698;4;27,2;822
Itapetinga;BA;69.903;19;27,2;826
Coração de Maria;BA;22.149;6;27,1;830
Xique-Xique;BA;45.660;12;26,3;867
Guanambi;BA;79.936;21;26,3;868
Sátiro Dias;BA;19.054;5;26,2;873
Conceição do Jacuípe;BA;30.717;8;26,0;880
Casa Nova;BA;66.331;17;25,6;895
Nazaré;BA;27.454;7;25,5;902
Remanso;BA;39.365;10;25,4;907
Ribeira do Pombal;BA;47.877;12;25,1;922
Malhada;BA;16.058;4;24,9;929
Nova Canaã;BA;16.070;4;24,9;930
Curaçá;BA;32.631;8;24,5;945
Tapiramutá;BA;16.434;4;24,3;955
Itapicuru;BA;33.008;8;24,2;960
Palmas de Monte Alto;BA;20.894;5;23,9;970
Rio Real;BA;37.754;9;23,8;974
Terra Nova;BA;12.793;3;23,5;995
Cândido Sales;BA;25.711;6;23,3;999
Ibipeba;BA;17.277;4;23,2;1009
Iguaí;BA;26.053;6;23,0;1016
Morro do Chapéu;BA;35.251;8;22,7;1035
Belmonte;BA;22.067;5;22,7;1037
Conceição do Almeida;BA;17.705;4;22,6;1041
Jitaúna;BA;13.280;3;22,6;1042
Barra do Choça;BA;35.501;8;22,5;1045
Encruzilhada;BA;22.478;5;22,2;1052
Capim Grosso;BA;27.067;6;22,2;1054
Laje;BA;22.679;5;22,0;1060
Cruz das Almas;BA;59.470;13;21,9;1065
Brumado;BA;64.972;14;21,5;1083
Cansanção;BA;33.054;7;21,2;1101
Boa Nova;BA;14.620;3;20,5;1134
Presidente Tancredo Neves;BA;24.517;5;20,4;1140
Acajutiba;BA;14.730;3;20,4;1142
Anagé;BA;19.889;4;20,1;1158
Bom Jesus da Lapa;BA;64.740;13;20,1;1159
Governador Mangabeira;BA;19.926;4;20,1;1160
Serra Preta;BA;14.993;3;20,0;1162
Jussara;BA;15.004;3;20,0;1163
Itanhém;BA;20.015;4;20,0;1167
Crisópolis;BA;20.199;4;19,8;1174
Itapitanga;BA;10.181;2;19,6;1185
Castro Alves;BA;25.555;5;19,6;1190
Ubatã;BA;25.575;5;19,6;1193
Pintadas;BA;10.250;2;19,5;1194
São José do Jacuípe;BA;10.293;2;19,4;1200
Serrinha;BA;77.211;15;19,4;1202
Arataca;BA;10.307;2;19,4;1204
Ibicuí;BA;15.650;3;19,2;1219
Itapé;BA;10.436;2;19,2;1220
Marcionílio Souza;BA;10.447;2;19,1;1226
Correntina;BA;31.397;6;19,1;1233
Aramari;BA;10.483;2;19,1;1237
Serra do Ramalho;BA;31.525;6;19,0;1244
Floresta Azul;BA;10.657;2;18,8;1263
Ipirá;BA;59.001;11;18,6;1272
Chorrochó;BA;10.794;2;18,5;1283
Caravelas;BA;21.612;4;18,5;1286
Guaratinga;BA;21.840;4;18,3;1308
Iuiú;BA;10.963;2;18,2;1311
Sapeaçu;BA;16.619;3;18,1;1326
Irará;BA;27.814;5;18,0;1334
Paripiranga;BA;27.958;5;17,9;1341
Antônio Gonçalves;BA;11.229;2;17,8;1345
Santa Maria da Vitória;BA;40.165;7;17,4;1377
Capela do Alto Alegre;BA;11.485;2;17,4;1379
Macarani;BA;17.253;3;17,4;1382
Araças;BA;11.642;2;17,2;1401
Banzaê;BA;11.840;2;16,9;1416
Sítio do Quinto;BA;11.930;2;16,8;1427
Sítio do Mato;BA;12.161;2;16,4;1461
Ituaçu;BA;18.302;3;16,4;1464
São Gabriel;BA;18.430;3;16,3;1472
Jaguarari;BA;30.769;5;16,3;1477
Livramento de Nossa Senhora;BA;43.514;7;16,1;1488
Nordestina;BA;12.458;2;16,1;1494
Olindina;BA;25.100;4;15,9;1505
Iaçu;BA;25.319;4;15,8;1519
Nilo Peçanha;BA;12.729;2;15,7;1525
Santa Bárbara;BA;19.292;3;15,6;1539
Aurelino Leal;BA;13.059;2;15,3;1562
Tucano;BA;52.734;8;15,2;1573
Candiba;BA;13.329;2;15,0;1584
Pindobaçu;BA;20.009;3;15,0;1585
São Felipe;BA;20.329;3;14,8;1600
Uibaí;BA;13.642;2;14,7;1611
Presidente Dutra;BA;13.807;2;14,5;1621
Salinas da Margarida;BA;13.921;2;14,4;1633
Brejões;BA;14.123;2;14,2;1651
Itiúba;BA;36.200;5;13,8;1664
Bonito;BA;15.126;2;13,2;1702
Conceição do Coité;BA;63.033;8;12,7;1744
Canudos;BA;15.941;2;12,5;1757
Uauá;BA;24.015;3;12,5;1758
Souto Soares;BA;16.069;2;12,4;1763
Nova Soure;BA;24.265;3;12,4;1772
Ourolândia;BA;16.578;2;12,1;1786
Riachão do Jacuípe;BA;33.271;4;12,0;1791
Coronel João Sá;BA;16.650;2;12,0;1792
Senhor do Bonfim;BA;75.437;9;11,9;1798
Pedro Alexandre;BA;17.045;2;11,7;1809
Central;BA;17.057;2;11,7;1810
Piatã;BA;17.257;2;11,6;1820
Cafarnaum;BA;17.398;2;11,5;1826
Umburanas;BA;17.432;2;11,5;1829
Miguel Calmon;BA;26.188;3;11,5;1832
Cabaceiras do Paraguaçu;BA;17.582;2;11,4;1840
Aporá;BA;17.877;2;11,2;1850
Cocos;BA;18.235;2;11,0;1863
Itarantim;BA;18.651;2;10,7;1879
Jeremoabo;BA;38.163;4;10,5;1898
Mairi;BA;19.163;2;10,4;1900
Baixa Grande;BA;20.031;2;10,0;1929
Barra;BA;50.134;5;10,0;1930
Jaguaquara;BA;51.635;5;9,7;1961
Conceição da Feira;BA;20.826;2;9,6;1977
Araci;BA;52.325;5;9,6;1991
São Miguel das Matas;BA;10.474;1;9,5;1992
Caatiba;BA;10.576;1;9,5;2004
Gentio do Ouro;BA;10.690;1;9,4;2017
Teofilândia;BA;21.581;2;9,3;2031
Novo Horizonte;BA;11.001;1;9,1;2058
Boquira;BA;22.025;2;9,1;2063
Pilão Arcado;BA;33.176;3;9,0;2066
Iramaia;BA;11.150;1;9,0;2078
Campo Formoso;BA;67.305;6;8,9;2080
Matina;BA;11.342;1;8,8;2094
Euclides da Cunha;BA;56.962;5;8,8;2097
Santaluz;BA;34.274;3;8,8;2102
Tabocas do Brejo Velho;BA;11.433;1;8,7;2103
Mortugaba;BA;11.729;1;8,5;2128
Mulungu do Morro;BA;11.743;1;8,5;2131
Canarana;BA;24.430;2;8,2;2165
Dário Meira;BA;12.217;1;8,2;2167
Retirolândia;BA;12.281;1;8,1;2171
Queimadas;BA;24.602;2;8,1;2173
Planalto;BA;24.627;2;8,1;2176
Serrolândia;BA;12.464;1;8,0;2182
Caldeirão Grande;BA;12.658;1;7,9;2197
Itagi;BA;12.805;1;7,8;2208
Rio de Contas;BA;12.891;1;7,8;2214
Monte Santo;BA;52.023;4;7,7;2219
Itaguaçu da Bahia;BA;13.487;1;7,4;2249
Várzea da Roça;BA;13.834;1;7,2;2266
Barro Alto;BA;13.914;1;7,2;2271
Manoel Vitorino;BA;13.948;1;7,2;2275
Andorinha;BA;14.209;1;7,0;2286
Carinhanha;BA;28.519;2;7,0;2288
Ibipitanga;BA;14.285;1;7,0;2292
Ribeira do Amparo;BA;14.333;1;7,0;2296
Jacaraci;BA;14.500;1;6,9;2307
Caetanos;BA;14.926;1;6,7;2325
Novo Triunfo;BA;15.067;1;6,6;2330
Itagibá;BA;15.088;1;6,6;2333
Glória;BA;15.114;1;6,6;2334
Riacho de Santana;BA;31.027;2;6,4;2348
Ibitiara;BA;15.669;1;6,4;2358
Água Fria;BA;15.884;1;6,3;2369
Cipó;BA;15.884;1;6,3;2370
Adustina;BA;15.914;1;6,3;2373
Caetité;BA;47.774;3;6,3;2374
América Dourada;BA;15.962;1;6,3;2375
Cícero Dantas;BA;32.470;2;6,2;2385
Mirangaba;BA;16.606;1;6,0;2393
Filadélfia;BA;16.672;1;6,0;2397
Amargosa;BA;34.845;2;5,7;2420
Antas;BA;17.526;1;5,7;2427
Belo Campo;BA;17.625;1;5,7;2433
