 238 º; Campo Limpo Paulista (SP); 0,769; 0,733; 0,840; 0,739
 238 º; Garça (SP); 0,769; 0,737; 0,849; 0,728
 238 º; Pedreira (SP); 0,769; 0,750; 0,864; 0,701
 249 º; São Vicente (SP); 0,768; 0,738; 0,857; 0,716
 249 º; São Roque (SP); 0,768; 0,765; 0,863; 0,687
 249 º; Igarapava (SP); 0,768; 0,809; 0,835; 0,671
 249 º; Bilac (SP); 0,768; 0,743; 0,845; 0,722
 249 º; Monte Alto (SP); 0,768; 0,746; 0,859; 0,707
 249 º; Regente Feijó (SP); 0,768; 0,735; 0,818; 0,752
 265 º; Serra Negra (SP); 0,767; 0,764; 0,873; 0,676
 265 º; Votorantim (SP); 0,767; 0,720; 0,838; 0,747
 265 º; Orindiúva (SP); 0,767; 0,719; 0,824; 0,762
 265 º; Avaré (SP); 0,767; 0,751; 0,866; 0,695
 274 º; Cedral (SP); 0,766; 0,749; 0,872; 0,689
 274 º; Poloni (SP); 0,766; 0,736; 0,853; 0,717
 274 º; Mauá (SP); 0,766; 0,721; 0,852; 0,733
 274 º; Pereira Barreto (SP); 0,766; 0,728; 0,845; 0,732
 274 º; Alumínio (SP); 0,766; 0,729; 0,841; 0,732
 274 º; São Simão (SP); 0,766; 0,732; 0,852; 0,722
 274 º; Lorena (SP); 0,766; 0,736; 0,856; 0,713
 289 º; Ituverava (SP); 0,765; 0,768; 0,841; 0,694
 289 º; Atibaia (SP); 0,765; 0,786; 0,851; 0,670
 289 º; Suzano (SP); 0,765; 0,708; 0,873; 0,723
 289 º; Nova Europa (SP); 0,765; 0,718; 0,869; 0,718
 304 º; Lençóis Paulista (SP); 0,764; 0,743; 0,837; 0,717
 304 º; Cachoeira Paulista (SP); 0,764; 0,733; 0,837; 0,728
 304 º; Rosana (SP); 0,764; 0,749; 0,818; 0,728
 320 º; Presidente Venceslau (SP); 0,763; 0,749; 0,837; 0,708
 320 º; Guararapes (SP); 0,763; 0,727; 0,840; 0,726
 320 º; Itapetininga (SP); 0,763; 0,728; 0,864; 0,705
 320 º; Gabriel Monteiro (SP); 0,763; 0,721; 0,809; 0,762
 320 º; Buritama (SP); 0,763; 0,736; 0,839; 0,720
 320 º; Guarulhos (SP); 0,763; 0,746; 0,831; 0,717
 335 º; Paraguaçu Paulista (SP); 0,762; 0,717; 0,836; 0,739
 335 º; Sumaré (SP); 0,762; 0,744; 0,845; 0,705
 335 º; Itupeva (SP); 0,762; 0,750; 0,844; 0,699
 335 º; Mirassol (SP); 0,762; 0,748; 0,846; 0,698
 335 º; Osvaldo Cruz (SP); 0,762; 0,740; 0,837; 0,713
 335 º; Itapira (SP); 0,762; 0,750; 0,852; 0,692
 335 º; São Joaquim da Barra (SP); 0,762; 0,740; 0,847; 0,706
 335 º; Mococa (SP); 0,762; 0,756; 0,827; 0,709
 335 º; Santa Cruz do Rio Pardo (SP); 0,762; 0,744; 0,867; 0,686
